year,cum_invest_hat,annual_invest,cum_adopters_units_cf_7000,annual_adopters_units_cf_7000
2016,0.0,0.0,0.0,0.0
2017,1.381568735174962,1.381568735174962,197.36696216785168,197.36696216785168
2018,11.435923945279283,10.05435521010432,1633.7034207541833,1436.3364585863314
2019,82.84815126297423,71.41222731769494,11835.45018042489,10201.746759670707
2020,514.565072855082,431.7169215921078,73509.29612215457,61673.84594172968
2021,1783.238576906045,1268.673504050963,254748.368129435,181239.07200728043
2022,2691.064052501569,907.8254755955243,384437.7217859385,129689.35365650347
2023,2892.6133011467477,201.54924864517852,413230.47159239254,28792.749806454074
2024,2922.573044095651,29.959742948903113,417510.4348708072,4279.963278414731
2025,2926.7220797456557,4.149035650004862,418103.15424937935,592.7193785721231
2026,2927.290888121153,0.5688083754971558,418184.4125887361,81.25833935673654
2027,2927.3687599343953,0.0778718132423819,418195.537133485,11.1245447489117
2028,2927.3794188195448,0.0106588851494962,418197.05983136356,1.5226978784994571
2029,2927.3808777411055,0.0014589215606974903,418197.26824872935,0.2084173658139272
2030,2927.381077428454,0.00019968734841313562,418197.2967754934,0.028526764059019376
2031,2927.3811047602985,2.7331844648870174e-05,418197.30068004265,0.003904549235552882
2032,2927.381108501295,3.7409963624668308e-06,418197.3012144707,0.0005344280517809759
2033,2927.3811090133368,5.120418791193515e-07,418197.3012876195,7.314883987419307e-05
2034,2927.381109083422,7.008520697127096e-08,418197.30129763176,1.001217242446728e-05
2035,2927.381109093015,9.59289536694996e-09,418197.3012990021,1.3704136238499944e-06
2036,2927.381109094328,1.3133103493601084e-09,418197.3012991898,1.876157641943012e-07
2037,2927.3811090945073,1.7917045624926686e-10,418197.3012992153,2.559577946418098e-08
2038,2927.381109094532,2.4556356947869062e-11,418197.30129921885,3.5080509925527234e-09
2039,2927.3811090945355,3.637978807091713e-12,418197.3012992193,5.19711258155959e-10
2040,2927.381109094536,4.547473508864641e-13,418197.3012992194,6.496390726949488e-11
2041,2927.381109094536,0.0,418197.3012992194,0.0
2042,2927.381109094536,0.0,418197.3012992194,0.0
2043,2927.381109094536,0.0,418197.3012992194,0.0
2044,2927.381109094536,0.0,418197.3012992194,0.0
2045,2927.381109094536,0.0,418197.3012992194,0.0
