Bandit,Reward,Algorithm
Arm_0,0,EpsilonGreedy
Arm_0,0,EpsilonGreedy
Arm_2,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_1,0,EpsilonGreedy
Arm_0,1,EpsilonGreedy
Arm_0,0,EpsilonGreedy
Arm_0,1,EpsilonGreedy
Arm_2,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_1,0,EpsilonGreedy
Arm_2,0,EpsilonGreedy
Arm_0,0,EpsilonGreedy
Arm_0,0,EpsilonGreedy
Arm_0,0,EpsilonGreedy
Arm_0,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_2,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_0,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_1,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_2,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_2,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_0,1,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_1,1,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_2,0,EpsilonGreedy
Arm_2,1,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_0,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_0,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_2,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
Arm_3,1,EpsilonGreedy
Arm_3,0,EpsilonGreedy
