ID,region,tenure,age,marital,address,income,ed,retire,gender,voice,internet,forward,custcat,churn,churn_event,region_Zone1,region_Zone2,region_Zone3,marital_Married,ed_level,retire_Yes,gender_Male,voice_Yes,internet_Yes,forward_Yes,custcat_Basic service,custcat_E-service,custcat_Plus service,custcat_Total service,CLV,income_quartile,age_group,high_value,high_income,surv_prob_1year,churn_risk_1year
1,Zone 2,13,44,Married,9,64,College degree,No,Male,No,No,Yes,Basic service,Yes,1,0,1,0,1,3.0,0,1,0,0,1,True,False,False,False,1678.4730762209238,Q3,40-50,0,1,0.89620806274805,0.10379193725195002
2,Zone 3,11,33,Married,7,136,Post-undergraduate degree,No,Male,Yes,No,Yes,Total service,Yes,1,0,0,1,1,4.0,0,1,1,0,1,False,False,False,True,1751.3162945874406,Q4 (High),30-40,0,1,0.9137974959838422,0.08620250401615781
3,Zone 3,68,52,Married,24,116,Did not complete high school,No,Female,No,No,No,Plus service,No,0,0,0,1,1,1.0,0,0,0,0,0,False,False,True,False,2223.0642538345824,Q4 (High),50+,1,1,0.9968127306049931,0.0031872693950069086
4,Zone 2,33,33,Unmarried,12,33,High school degree,No,Female,No,No,No,Basic service,Yes,1,0,1,0,0,2.0,0,0,0,0,0,True,False,False,False,1487.363552649364,Q2,30-40,0,0,0.8419146670662172,0.1580853329337828
5,Zone 2,23,30,Married,9,30,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,0,1,0,1,1.0,0,1,0,0,1,False,False,True,False,2020.9348499906923,Q2,<30,0,0,0.9668929003091837,0.033107099690816266
6,Zone 2,41,39,Unmarried,17,78,High school degree,No,Female,No,No,No,Plus service,No,0,0,1,0,0,2.0,0,0,0,0,0,False,False,True,False,2070.728589684402,Q3,30-40,0,1,0.9749455659539843,0.025054434046015706
7,Zone 3,45,22,Married,2,19,High school degree,No,Female,No,Yes,No,E-service,Yes,1,0,0,1,1,2.0,0,0,0,1,0,False,True,False,False,1611.739521216628,Q1 (Low),<30,0,0,0.8786644975532554,0.12133550244674463
8,Zone 2,38,35,Unmarried,5,76,High school degree,No,Male,Yes,Yes,Yes,Total service,No,0,0,1,0,0,2.0,0,1,1,1,1,False,False,False,True,1266.5359576084293,Q3,30-40,0,1,0.7614943594445448,0.2385056405554552
9,Zone 3,45,59,Married,7,166,College degree,No,Male,No,No,Yes,Plus service,No,0,0,0,1,1,3.0,0,1,0,0,1,False,False,True,False,2151.9465753323707,Q4 (High),50+,1,1,0.9870947774311082,0.012905222568891817
10,Zone 1,68,41,Married,21,72,Did not complete high school,No,Male,No,No,No,E-service,No,0,1,0,0,1,1.0,0,1,0,0,0,False,True,False,False,2194.682755489476,Q3,40-50,1,1,0.993032171711887,0.006967828288113043
